url	first_seen	portal	title	company	status
https://jobs.ashbyhq.com/apollo-graphql/8eaabf72-da9b-49a9-8b4d-1e371a834776	2026-04-10	ashby	Senior Solutions Architect - West	Apollo GraphQL	added
https://jobs.ashbyhq.com/socure/e7840fa8-ee18-4488-8c12-40d2b83e3587	2026-04-10	ashby	Visual Systems Architect	Socure	added
https://jobs.ashbyhq.com/rula/55c5f5ff-6799-4c85-a861-2aef19a665e2	2026-04-10	ashby	Director of Cloud & Platform Engineering (Remote)	Rula	added
https://jobs.ashbyhq.com/replicated/1ac69d40-a4e9-4a0d-b7f0-5755b5e6f5f0	2026-04-10	ashby	Senior Software Engineer, Backend Go (remote)	Replicated	added
https://jobs.lever.co/jobgether/701c6240-c177-4f5e-85c7-35a4154b7f29	2026-04-10	lever	Senior SRE DevOps Engineer (Remote US)	Jobgether	added
https://jobs.lever.co/jobgether/a1ee1fcf-ad70-4fa3-a857-92195fe20a43	2026-04-10	lever	Lead SRE DevOps Engineer (remote)	Jobgether	added
https://jobs.lever.co/jobgether/ba2377db-35e8-4c15-a917-8c6c220683ca	2026-04-10	lever	Senior SRE DevOps Engineer (Remote)	Jobgether	added
https://jobs.lever.co/smart-working-solutions/d10a7a42-921d-44a4-94b5-4426a4c48a9a	2026-04-10	lever	DevOps Engineer (Remote, Full-Time)	Smart Working Solutions	added
https://jobs.lever.co/jobgether/91320f95-344e-4853-aaea-b86a1a74ecac	2026-04-10	lever	Sr. DevOps Engineer (Remote)	Jobgether	added
https://jobs.lever.co/fiscalnote/8ca4e26f-02c0-4893-a5a8-6c1ffda9b56e	2026-04-10	lever	Platform Engineer	FiscalNote	added
https://weworkremotely.com/remote-jobs/zenocloud-devops-engineer	2026-04-10	weworkremotely	DevOps Engineer	ZenoCloud	added
https://weworkremotely.com/remote-jobs/nclouds-senior-cloud-devops-engineer-guatemala	2026-04-10	weworkremotely	Senior Cloud DevOps Engineer	nClouds	added
https://remotive.com/remote/jobs/devops/devops-sre-4280391	2026-04-10	remotive	DevOps/SRE	Capgemini	added
https://remotive.com/remote/jobs/devops/senior-devops-sre-engineer-4071569	2026-04-10	remotive	Senior DevOps/SRE Engineer	capital.com	added
https://remotive.com/remote/jobs/devops/devops-engineer-sre-4192823	2026-04-10	remotive	DevOps Engineer / SRE	DIGIHMB	added
https://job-boards.greenhouse.io/remotepeople/jobs/4824362101	2026-04-10	greenhouse	Senior DevOps Engineer	Remote People	added
https://job-boards.greenhouse.io/sciencelogic/jobs/7638337	2026-04-10	greenhouse	Sr. Platform Engineer (Remote)	ScienceLogic	added
https://job-boards.greenhouse.io/pingidentity/jobs/8421168002	2026-04-10	greenhouse	Manager, SRE - Government Cloud	Ping Identity	added
https://apply.workable.com/optisigns-inc/j/0147D4E689/	2026-04-10	workable	Senior DevOps/SRE Architect	OptiSigns	added
https://apply.workable.com/code-metal/j/CF746F8119/	2026-04-10	workable	Senior Platform DevOps Engineer (Cloud + On-Prem)	Code Metal	added
https://apply.workable.com/routesmart-technologies-inc/j/51CC05A544/	2026-04-10	workable	Cloud Engineer (Hybrid or Remote)	RouteSmart	added
https://apply.workable.com/itrs/j/7919F204C7	2026-04-10	workable	DevOps / Platform Engineer (Remote)	ITRS	added
https://apply.workable.com/roadpass-digital-1/j/E250DF06E9/	2026-04-10	workable	DevOps Engineering Manager (Remote)	Roadpass Digital	added
https://apply.workable.com/workmotion/j/F6AEAE1C5B/	2026-04-10	workable	DevOps / Cloud Engineer	WorkMotion	added
https://apply.workable.com/tyme/j/7A2958E1AA	2026-04-10	workable	Senior DevOps Engineer (Cloud, AWS)	TymeX	added
https://himalayas.app/companies/nvidia/jobs/senior-engineer-devops-platform-cloud-software	2026-04-10	himalayas	Senior Engineer, DevOps Platform - Cloud Software	NVIDIA	added
https://himalayas.app/companies/valon-tech/jobs/staff-cloud-infrastructure-engineer	2026-04-10	himalayas	Staff Cloud Infrastructure Engineer	Valon Tech	added
https://himalayas.app/companies/vmray/jobs/site-reliability-engineer-m-f-d-5604687548	2026-04-10	himalayas	Site Reliability Engineer	VMRay	added
https://himalayas.app/companies/nextgen-healthcare/jobs/sr-engineer-cloud-platform-operations	2026-04-10	himalayas	Sr. Engineer, Cloud Platform & Operations	NextGen Healthcare	added
https://himalayas.app/companies/reveleer/jobs/senior-devops-engineer	2026-04-10	himalayas	Senior DevOps Engineer	Reveleer	added
https://www.workatastartup.com/jobs/83016	2026-04-10	workatastartup	Senior DevOps Engineer	Hudu	added
https://job-boards.greenhouse.io/vercel/jobs/5843010004	2026-04-10	greenhouse-api	Anti-Abuse Automation Engineer (Remote US)	Vercel	added
https://job-boards.greenhouse.io/vercel/jobs/5796302004	2026-04-10	greenhouse-api	Solutions Architect (Remote UK/Germany)	Vercel	added
https://job-boards.greenhouse.io/vercel/jobs/5804110004	2026-04-10	greenhouse-api	Solutions Architect (Remote Australia)	Vercel	added
https://job-boards.greenhouse.io/celonis/jobs/7672261003	2026-04-10	greenhouse-api	Senior Solutions Architect (Remote US)	Celonis	added
https://job-boards.greenhouse.io/anthropic/jobs/5101169008	2026-04-10	greenhouse-api	Staff Software Engineer, AI Reliability Engineering (Dublin)	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5101173008	2026-04-10	greenhouse-api	Staff Software Engineer, AI Reliability Engineering (London)	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5108644008	2026-04-10	greenhouse-api	TPM, Reliability Engineering	Anthropic	added
